FileType,OuDiaSecond.JikokuhyouCsv.3
2021.3.13(平日)
上りカスタマイズ

列車番号,,1502H,1504H,1506H,3102H,1508H,1510H,3104H,1512H,3106H,1514H,1516H,4302M,3108H,1518H,4304M,2302H,1520H,3110H,1522H,1524H,4306M,3112H,1526H,4308M,1528H,3114H,3116H,1530H,4910H,4310M,3118H,1532H,4312M,3120H,1534H,4314M,3122H,1536H,4316M,3124H,1538H,3126H,4918H,4318M,1540H,3128H,1542H,3130H,3132H,1544H,3904M,4320M,1546H,3134H,1548H,3906M,3136H,4722H,4122M,1550H,3138H,1552H,3140H,4724H,4124M,1554H,4726H,4126M,1556H,3142H,1558H,4728H,4128M,1560H,4130M,1562H,3144H,1564H,4732H,4132M,3146H,1566H,4534H,4134M,3148H,1568H,4536H,4136M,3150H,1570H,4538H,4138M,3152H,1572H,4540H,4140M,回3154H?,3154H,1574H,4542H,4142M,2304H,1576H,4544H,4144M,2306H,1578H,4546H,4146M,2308H,1580H,4548H,4148M,2310H,1582H,4550H,4150M,2312H,1584H,4552H,4152M,2314H,1586H,4554H,4154M,2316H,1588H,4556H,4156M,2318H,1590H,4558H,4158M,2320H,1592H,4560H,4160M,2322H,1594H,4562H,4162M,2324H,1596H,4564H,4164M,2326H,1598H,4566H,4166M,2328H,1600H,4568H,4168M,2330H,1602H,4570H,4170M,2332H,1604H,4572H,4172M,2334H,1606H,4574H,4174M,2336H,1608H,4576H,4176M,2338H,4578H,4178M,1610H,5580H,5180M,1614H,5582H,5182M,1616H,1618H,4584H,4184M,3162H,1620H,4586H,4186M,1622H,3164H,1624H,4588H,4188M,3166H,1626H,4590H,4190M,3168H,1628H,4592H,4192M,3170H,1630H,4594H,4194M,1632H,3172H,1634H,4596H,4196M,3174H,1636H,4598H,4198M,3176H,1638H,4600H,4200M,3178H,1640H,4602H,4202M,1642H,3180H,1644H,4604H,4204M,3182H,1646H,4606H,4206M,3184H,1648H,4608H,4208M,3186H,1650H,4610H,4210M,1652H,3188H,1654H,4612H,4212M,3190H,1656H,4614H,4214M,3192H,1658H,4616H,4216M,3194H,1660H,4618H,4218M,3196H,1662H,4620H,4220M,1664H,4622H,4222M,回252H,1666H,5624H,5224M,1668H,4626H,4226M,1670H,5628H,5228M,1672H,4230M,1674H,5232M,1676H,回254H,回256H,4634H,4234M,1678H,回1680H,4236M,回258H,1680H,4638H,4238M,1682H,回1657H,3910M,1684H,3912M,1686H
運用番号,,69,115,113,126,137,125,151+179,154,142+159,173,116,122+174,161+166,70,129+128,114,111,123+135,61,65,182+156,138+146,158,144+162,154,139+147,161+166,62,175,130,142+159,67,170+136,176+172,68,157+171,123+135,66,140+132,133+185,64,164+165,127,180,63,167+168,126,124+121,161+166,69,179,137+145,125,160+131,134,163,138+146,150,179,148,153+169,115,142+159,155,163,114,143,177,113,123+135,65,181,172,158,139+147,173,133,62,183,128,185,70,184,156,124,116,176,164+176,160,64,129,162,165,63,154,130,148,148,125,182,136,169,134,144,142+144,131,113,126,132,159,173,175,174,185,158,170,163,123,116,140,179,133,125,122,171,124,67,155,177,165,113,150,172,148,173,157,128,114,158,181,156,169,116,183,176,160,125,143,162,185,67,184,130,131,62,129,136,123,64,164,144,159,65,154,132,124,70,182,174,148,142,163,125,126,179,115,175,171,133,63,170,177,138+146,114,140,172,173,160+165,66,122,128,169+135,153,155,156,123+185,68,150,176,161+166,67,157,162,69,126+179,62,181,130,167+168,64,183,136,138+146,65,143,144,131+159,124,184,132,113,169+135,125,129,174,175+171,115,164,163,161+166,133,154,147,160+165,70,182,180,158,167+168,63,142,177,123+185,66,139,172,131+159,173,127,128,126+179,153,170,156,138+146,114,140,150,62,122,157,160+165,68,155,181,67,176,183,69,161,143,134,132+184,64,129,124,175+171,137+145,162,154,65,70,180+182,68,70,179,142,125,66,128+127,141,139,153
列車種別,,普通,普通,普通,快速,普通,普通,快速,普通,快速,普通,普通,直快,快速,普通,直快,区快,普通,快速,普通,普通,直快,快速,普通,直快,普通,快速,快速,普通,直快,直快,快速,普通,直快,快速,普通,直快,快速,普通,直快,快速,普通,快速,直快,直快,普通,快速,普通,快速,快速,普通,ｼｬﾄﾙ,直快,普通,快速,普通,ｼｬﾄﾙ,快速,紀州,関紀,普通,快速,普通,快速,紀州,関紀,普通,紀州,関紀,普通,快速,普通,紀州,関紀,普通,紀州,普通,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,紀州,快速,普通,紀州,関紀,快速,普通,紀州,関紀,普通,快速,普通,紀州,関紀,区快,普通,紀州,紀州,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,紀州,関紀,普通,紀州,関紀,普通,紀州,関紀,普通,普通,紀州,関紀,快速,普通,紀州,関紀,普通,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,普通,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,普通,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,普通,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,普通,紀州,関紀,普通,普通,紀州,関紀,普通,紀州,関紀,普通,紀州,関紀,普通,関空,普通,関空,普通,普通,普通,紀州,関紀,普通,普通,関空,普通,普通,紀州,関紀,普通,普通,ｼｬﾄﾙ,普通,ｼｬﾄﾙ,普通
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,鳳,日根野,鳳,鳳,日根野,鳳,日根野,日根野,日根野,和歌山,日根野,関西空港,鳳,和歌山,日根野,日根野,鳳,日根野,鳳,和歌山,和歌山,鳳,和歌山,関西空港,鳳,和歌山,鳳,和泉砂川,御坊,関西空港,鳳,和歌山,和歌山,鳳,日根野,関西空港,鳳,和泉砂川,和歌山,鳳,和歌山,日根野,和歌山,関西空港,和歌山,海南,和泉砂川,日根野,鳳,和歌山,関西空港,和歌山,日根野,御坊,和歌山,関西空港,日根野,紀伊田辺,関西空港,日根野,紀伊田辺,和歌山,日根野,和歌山,関西空港,熊取,海南,関西空港,和歌山,日根野,熊取,和歌山,関西空港,熊取,和歌山,和歌山,日根野,熊取,和歌山,関西空港,日根野,和歌山,和歌山,関西空港,日根野,和歌山,和歌山,日根野,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,東貝塚,東岸和田,熊取,和歌山,関西空港,日根野,熊取,和歌山,日根野,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,和歌山,関西空港,鳳,和歌山,関西空港,日根野,和歌山,関西空港,日根野,鳳,和歌山,関西空港,鳳,日根野,和歌山,関西空港,鳳,日根野,日根野,和歌山,関西空港,日根野,日根野,和歌山,関西空港,日根野,日根野,和歌山,関西空港,鳳,熊取,和歌山,関西空港,鳳,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,日根野,和歌山,関西空港,鳳,日根野,熊取,和歌山,関西空港,和歌山,熊取,和歌山,関西空港,日根野,日根野,和歌山,関西空港,和歌山,日根野,和歌山,関西空港,鳳,日根野,日根野,和歌山,関西空港,和歌山,熊取,和歌山,関西空港,日根野,日根野,和歌山,関西空港,和歌山,日根野,和歌山,関西空港,和歌山,日根野,和歌山,関西空港,熊取,和歌山,関西空港,日根野,日根野,和歌山,関西空港,日根野,和歌山,関西空港,日根野,和歌山,関西空港,鳳,関西空港,日根野,関西空港,日根野,日根野,東岸和田,和歌山,関西空港,和歌山,和泉砂川,関西空港,和泉府中,日根野,和歌山,関西空港,和歌山,和泉砂川,関西空港,和歌山,関西空港,和歌山
終着駅,,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,日根野,京橋,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,日根野,京橋,天王寺,天王寺,天王寺,日根野,天王寺,日根野,京橋,天王寺,天王寺,天王寺,天王寺,日根野,京橋,天王寺,日根野,京橋,天王寺,天王寺,天王寺,日根野,京橋,天王寺,京橋,天王寺,天王寺,天王寺,日根野,京橋,天王寺,天王寺,日根野,京橋,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,東岸和田,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,京橋,天王寺,日根野,天王寺,鳳,天王寺,日根野,天王寺,天王寺,日根野,京橋,天王寺,日根野,天王寺,天王寺,京橋,天王寺,天王寺,天王寺,鳳,鳳,日根野,京橋,天王寺,日根野,京橋,鳳,天王寺,日根野,京橋,天王寺,日根野,日根野,日根野,日根野,日根野
和歌山,発,,,,,,,,,, 457,,,, 516,,,,,, 538, 605,, 548,,, 619,,, 631,,, 610, 641,,,,,, 655,, 634,, 704,, 644, 714,,,, 658,, 729,, 742, 716,,, 755,,, 812, 735,, 822,,, 834,, 800,,, 851,,, 906, 828,,, 918,,, 856, 928,,, 910, 940,,,, 958,,,,1013,,,,,1028,,,,1039,,,,1059,,,,1114,,,,1129,,,,1140,,,,1159,,,,1214,,,,1229,,,,1240,,,,1259,,,,1314,,,,1329,,,,1340,,,,1359,,,,1414,,,,1429,,,,1439,,,1458,,,1508,,,1526,,,,1536,,,,1556,,,,,1609,,,,1627,,,,1639,,,,1657,,,,,1710,,,,1728,,,,1737,,,,1757,,,,,1810,,1824,,1828,,,,1840,,1855,,1858,,,,,1913,,1926,,1928,,,,1940,,1955,,1958,,2015,,2017,,,2028,,,,2043,,,2104,,,2120,,,,,,,,,2210,,2149,,,,,2251,,2231,,,2312,,2345
紀伊中ノ島,発,,,,,,,,,, 459,,,, 518,,,,,, 540, ﾚ,, 550,,, ﾚ,,, ﾚ,,, 613, ﾚ,,,,,, ﾚ,, 637,, ﾚ,, 646, ﾚ,,,, 700,, ﾚ,, ﾚ, 719,,, ﾚ,,, ﾚ, 737,, ﾚ,,, ﾚ,, 802,,, ﾚ,,, ﾚ, 830,,, ﾚ,,, 858, 930,,, 912, 942,,,,1000,,,,1015,,,,,1031,,,,1041,,,,1101,,,,1116,,,,1131,,,,1142,,,,1201,,,,1216,,,,1231,,,,1242,,,,1301,,,,1316,,,,1331,,,,1342,,,,1401,,,,1416,,,,1431,,,,1441,,,1500,,,1510,,,1528,,,,1538,,,,1558,,,,,1611,,,,1629,,,,1641,,,,1700,,,,,1712,,,,1730,,,,1739,,,,1800,,,,,1812,, ﾚ,,1830,,,,1842,, ﾚ,,1900,,,,,1915,, ﾚ,,1930,,,,1942,, ﾚ,,2000,, ﾚ,,2019,,,2030,,,,2045,,,2106,,,2122,,,,,,,,,2212,,2151,,,,,2253,,2233,,,2314,,2347
六十谷,発,,,,,,,,,, 503,,,, 521,,,,,, 544, 609,, 553,,, 624,,, 636,,, 616, 646,,,,,, 700,, 640,, 709,, 649, 719,,,, 704,, 734,, 746, 722,,, 800,,, 816, 741,, 827,,, 838,, 805,,, 856,,, 911, 833,,, 923,,, 902, 933,,, 915, 945,,,,1003,,,,1018,,,,,1034,,,,1045,,,,1104,,,,1119,,,,1134,,,,1145,,,,1204,,,,1219,,,,1234,,,,1245,,,,1304,,,,1319,,,,1334,,,,1345,,,,1404,,,,1419,,,,1434,,,,1445,,,1503,,,1514,,,1531,,,,1542,,,,1601,,,,,1615,,,,1632,,,,1645,,,,1703,,,,,1715,,,,1734,,,,1742,,,,1803,,,,,1815,,1829,,1834,,,,1846,,1900,,1904,,,,,1919,,1931,,1934,,,,1945,,2000,,2004,,2019,,2022,,,2034,,,,2049,,,2110,,,2126,,,,,,,,,2215,,2155,,,,,2257,,2236,,,2318,,2351
