FileType,OuDiaSecond.JikokuhyouCsv.3
2021.3.13(休日)
上りカスタマイズ

列車番号,,1502H,1504H,1506H,3102H,1508H,1510H,3104H,1512H,3106H,1514H,4102M,1518H,3108H,1520H,4104M,1524H,3110H,1526H,4106M,1530H,4108M,1532H,4710H,4110M,1534H,4112M,1536H,3122H,1538H,4714H,4114M,3124H,1540H,3902M,4116M,1542H,3130H,1544H,4118M,1546H,4120M,1548H,3136H,4722H,4122M,1550H,1552H,4724H,4124M,3140H,1554H,4726H,4126M,1556H,1558H,4728H,4128M,3144H,1560H,4730H,4130M,1562H,1564H,4732H,4132M,1566H,4534H,4134M,3148H,1568H,4536H,4136M,3150H,1570H,4538H,4138M,3152H,1572H,4540H,4140M,3154H,1574H,4542H,4142M,3156H,1576H,4544H,4144M,3158H,1578H,4546H,4146M,2308H,1580H,4548H,4148M,2310H,1582H,4550H,4150M,2312H,1584H,4552H,4152M,2314H,1586H,4554H,4154M,2316H,1588H,4556H,4156M,2318H,1590H,4558H,4158M,2320H,1592H,4560H,4160M,2322H,1594H,4562H,4162M,2324H,1596H,4564H,4164M,2326H,1598H,4566H,4166M,2328H,1600H,4568H,4168M,2330H,1602H,4570H,4170M,2332H,1604H,4572H,4172M,2334H,1606H,4574H,4174M,2336H,1608H,4576H,4176M,2338H,1610H,4578H,4178M,3160H,1612H,4580H,4180M,1614H,4582H,4182M,1616H,1618H,4584H,4184M,1620H,4586H,4186M,1622H,3164H,4588H,4188M,1624H,4590H,4190M,1626H,3168H,4592H,4192M,1628H,4594H,4194M,1630H,3172H,1632H,4596H,4196M,1634H,4598H,4198M,1636H,3176H,4600H,4200M,1638H,4602H,4202M,1640H,1644H,4604H,4204M,3182H,1646H,4606H,4206M,1648H,4608H,4208M,1650H,3186H,4610H,4210M,1652H,1654H,4612H,4212M,3190H,1656H,4614H,4214M,1658H,4216M,3194H,1660H,4618H,4218M,1662H,4620H,4220M,1664H,3196H,4622H,4222M,1666H,3198H,5624H,5224M,1668H,4626H,4226M,1670H,5628H,5228M,回252H,回1672H,1672H,4230M,1674H,5232M,1676H,4634H,4234M,回2**H,1678H,4236M,回2**H,1680H,4638H,4238M,1682H,3910M,1684H,3912M,1686H,回2**H
運用番号,,176,137,113,161+166,116,126,151,123,142+159,173,154+140,65,164+165,125,144+162,66,132+174,61,182+156,70,130,68,179,128+179,69,170+136,147,138+146,62,172,166,157+171,63,163,137+145,64,131+175,124,142+159,176,155+139,126,132+174,153,163,160,65,150,177,138+146,70,169,180,113,116,184,183,133+185,67,127,122+127,164,123,143,140,68,161,156,115,165,181,179,175,62,154,130,125,63,182,166,148,64,128,136,114,176,129,162,157,126,173,139,158,70,170,177,135,62,144,159,171,160,155,163,115,116,153,180,175,176,142,183,125,164,172,127,148,70,169,140,114,62,122,156,157,160,143,179,158,116,150,130,135,123,184,166,171,164,154,136,115,70,168,162,175,62,182,139,125,126,128,177,131,68,173,159,133+185,64,134,163,69,170,180,66,113,144,183,176,161,127,65,157+148,153,140,114,155,156,67,132+174,172,179,123,122,130,164,138+146,124,181,166,70,142,136,131,175+171,143,162,125,150,139,64,69,184,177,133+185,116,129,159,113,154,163,66,157+148,182,180,68,176,173,183,132+174,123,128,127,67,140,138+146,63,170,156,124,134,172,62,175+171,153,122,125,164+135,155,181,131,179,142,69,161,143,66,64,64,184,157,129,68,162,154,137+145,185,180+182,125,70,176,183,116,128+127,141,134,123,124
列車種別,,普通,普通,普通,快速,普通,普通,快速,普通,快速,普通,関空,普通,快速,普通,関空,普通,快速,普通,紀州,普通,関空,普通,紀州,紀州,普通,紀州,普通,快速,普通,紀州,関紀,快速,普通,ｼｬﾄﾙ,紀州,普通,快速,普通,関空,普通,紀州,普通,快速,紀州,関紀,普通,普通,紀州,関紀,快速,普通,紀州,関紀,普通,普通,紀州,関紀,快速,普通,紀州,紀州,普通,普通,紀州,関紀,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,快速,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,区快,普通,紀州,関紀,快速,普通,紀州,関紀,普通,紀州,関紀,普通,普通,紀州,関紀,普通,紀州,関紀,普通,快速,紀州,関紀,普通,紀州,関紀,普通,快速,紀州,関紀,普通,紀州,関紀,普通,快速,普通,紀州,関紀,普通,紀州,関紀,普通,快速,紀州,関紀,普通,紀州,関紀,普通,普通,紀州,関紀,快速,普通,紀州,関紀,普通,紀州,関紀,普通,快速,紀州,関紀,普通,普通,紀州,関紀,快速,普通,紀州,関紀,普通,関空,快速,普通,紀州,関紀,普通,紀州,関紀,普通,快速,紀州,関紀,普通,快速,紀州,関紀,普通,紀州,関紀,普通,紀州,関紀,回送,回送,普通,関空,普通,関空,普通,紀州,関紀,回送,普通,関空,回送,普通,紀州,関紀,普通,ｼｬﾄﾙ,普通,ｼｬﾄﾙ,普通,回送
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,鳳,日根野,鳳,鳳,日根野,鳳,日根野,日根野,日根野,和歌山,関西空港,和歌山,日根野,鳳,関西空港,日根野,日根野,鳳,和歌山,和歌山,関西空港,日根野,和歌山,日根野,鳳,和歌山,和歌山,東岸和田,日根野,和歌山,関西空港,日根野,和歌山,関西空港,和歌山,和歌山,和歌山,日根野,関西空港,和歌山,和歌山,日根野,日根野,和歌山,関西空港,和歌山,熊取,和歌山,関西空港,日根野,鳳,和歌山,関西空港,和歌山,和歌山,和歌山,関西空港,日根野,鳳,和歌山,日根野,和歌山,和歌山,和歌山,関西空港,日根野,和歌山,関西空港,日根野,和歌山,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,熊取,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,鳳,和歌山,関西空港,日根野,和歌山,関西空港,日根野,日根野,和歌山,関西空港,鳳,和歌山,関西空港,日根野,日根野,和歌山,関西空港,日根野,和歌山,関西空港,日根野,日根野,和歌山,関西空港,熊取,和歌山,関西空港,熊取,日根野,鳳,和歌山,関西空港,熊取,和歌山,関西空港,熊取,日根野,和歌山,関西空港,日根野,和歌山,関西空港,熊取,熊取,和歌山,関西空港,和歌山,鳳,和歌山,関西空港,熊取,和歌山,関西空港,日根野,和歌山,和歌山,関西空港,日根野,日根野,和歌山,関西空港,和歌山,熊取,和歌山,関西空港,日根野,関西空港,和歌山,鳳,和歌山,関西空港,熊取,和歌山,関西空港,日根野,和歌山,和歌山,関西空港,熊取,日根野,和歌山,関西空港,日根野,和歌山,関西空港,熊取,和歌山,関西空港,東貝塚,和泉砂川,日根野,関西空港,日根野,関西空港,日根野,和歌山,関西空港,東岸和田,和歌山,関西空港,和泉府中,日根野,和歌山,関西空港,和歌山,関西空港,和歌山,関西空港,和歌山,日根野
終着駅,,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,天王寺,京橋,天王寺,天王寺,天王寺,京橋,天王寺,天王寺,天王寺,京橋,天王寺,京橋,天王寺,日根野,京橋,天王寺,京橋,天王寺,天王寺,天王寺,日根野,京橋,天王寺,天王寺,日根野,京橋,天王寺,天王寺,天王寺,京橋,天王寺,京橋,天王寺,天王寺,日根野,京橋,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,京橋,天王寺,天王寺,日根野,天王寺,天王寺,天王寺,日根野,天王寺,天王寺,日根野,京橋,天王寺,日根野,天王寺,和泉府中,日根野,天王寺,京橋,天王寺,天王寺,天王寺,日根野,京橋,鳳,天王寺,京橋,鳳,天王寺,日根野,京橋,天王寺,日根野,日根野,日根野,日根野,鳳
和歌山,発,,,,,,,,,, 457,, 525,,,,,,, 616, 553,,, 643,,, 655, 620,,, 702,,, 632,, 722, 649, 730,,, 711, 749,,, 801,, 734,, 815,,,, 836,, 755, 818, 846,,,, 906,, 830, 850, 918,,, 928,,, 900, 940,,,, 958,,,,1013,,,,1028,,,,1039,,,,1058,,,,1114,,,,1129,,,,1140,,,,1159,,,,1214,,,,1229,,,,1240,,,,1259,,,,1314,,,,1329,,,,1340,,,,1359,,,,1414,,,,1429,,,,1439,,,,1459,,,,1510,,,1526,,,,1536,,,1556,,,,1609,,,1626,,,,1639,,,1658,,,,,1710,,,1728,,,,1738,,,1759,,,,1810,,1824,,1829,,,1839,,,1854,1859,,,,1913,,1925,,1928,,,,1954,,1959,,,2014,,,2025,2030,,,,2043,,,2104,,,2120,,,,,,,,,2210,,,2149,,,,2251,,2231,,2310,,2345,
紀伊中ノ島,発,,,,,,,,,, 459,, 527,,,,,,, ﾚ, 555,,, ﾚ,,, ﾚ, 623,,, ﾚ,,, 634,, ﾚ, 651, ﾚ,,, 713, ﾚ,,, ﾚ,, 737,, ﾚ,,,, ﾚ,, 758, 820, ﾚ,,,, ﾚ,, 833, 852, ﾚ,,, 930,,, 902, 942,,,,1000,,,,1015,,,,1030,,,,1041,,,,1100,,,,1116,,,,1131,,,,1142,,,,1201,,,,1216,,,,1231,,,,1242,,,,1301,,,,1316,,,,1331,,,,1342,,,,1401,,,,1416,,,,1431,,,,1441,,,,1501,,,,1512,,,1528,,,,1538,,,1558,,,,1611,,,1628,,,,1641,,,1700,,,,,1712,,,1730,,,,1740,,,1801,,,,1813,, ﾚ,,1831,,,1842,,, ﾚ,1902,,,,1915,, ﾚ,,1930,,,, ﾚ,,2002,,,2016,,, ﾚ,2032,,,,2045,,,2106,,,2122,,,,,,,,,2212,,,2151,,,,2253,,2233,,2312,,2347,
六十谷,発,,,,,,,,,, 503,, 531,,,,,,, 621, 558,,, 648,,, 700, 626,,, 707,,, 638,, 726, 655, 735,,, 716, 753,,, 806,, 740,, 820,,,, 841,, 801, 824, 851,,,, 911,, 836, 856, 923,,, 933,,, 906, 946,,,,1004,,,,1018,,,,1034,,,,1045,,,,1104,,,,1119,,,,1134,,,,1145,,,,1204,,,,1219,,,,1234,,,,1245,,,,1304,,,,1319,,,,1334,,,,1345,,,,1404,,,,1419,,,,1434,,,,1445,,,,1504,,,,1515,,,1531,,,,1542,,,1602,,,,1614,,,1632,,,,1645,,,1703,,,,,1715,,,1734,,,,1743,,,1805,,,,1816,,1829,,1835,,,1845,,,1859,1905,,,,1918,,1930,,1933,,,,1959,,2005,,,2019,,,2029,2036,,,,2049,,,2110,,,2126,,,,,,,,,2215,,,2155,,,,2257,,2236,,2315,,2351,
